Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,cluster
70,YouTube,@SeattlesFynest253,https://www.youtube.com/watch?v=4R19-gsUoio,“did the devil raise you?” “*screams of agony from the underworld*,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",devil raise screams agony underworld,3
71,YouTube,@lolar103,https://www.youtube.com/watch?v=4R19-gsUoio,The one where the husky screams is giving theatre kid vocal exercises 😭😭😭,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",one husky screams giving theatre kid vocal exercises,10
72,YouTube,@kiristenadams,https://www.youtube.com/watch?v=4R19-gsUoio,The fox has me crying.😭😭😭🤣,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",fox crying,2
73,YouTube,@jamesclough-e6l,https://www.youtube.com/watch?v=4R19-gsUoio,the husky! hehehe,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",husky hehehe,0
74,YouTube,@KartikIyer-d2s,https://www.youtube.com/watch?v=4R19-gsUoio,Do Husky&#39;s even know how to bark? Or they just shout?? 😂😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",husky 39 even know bark shout,8
75,YouTube,@jammer212,https://www.youtube.com/watch?v=4R19-gsUoio,That fox is making it&#39;s natural sound 😂😂😂😂😂 you guys are funnier than the video,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",fox making 39 natural sound guys funnier video,7
76,YouTube,@SantanaGroenmeyer-zc6lx,https://www.youtube.com/watch?v=4R19-gsUoio,Well done pups ❤❤😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",well done pups,5
77,YouTube,@Michaeldoesdrumsofficial,https://www.youtube.com/watch?v=4R19-gsUoio,"As much as the fox is cute, comparing a dog spark to whatever the heck, the fox was trying to do the fox sounds three times scarier like if I heard that in the woods, I would be running for my fucking life",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",much fox cute comparing dog spark whatever heck fox trying fox sounds three times scarier like heard woods would running fucking life,2
78,YouTube,@mistertwister2000,https://www.youtube.com/watch?v=4R19-gsUoio,"That’s not a fox mimicking dogs, they make that noise in the wild too",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",fox mimicking dogs make noise wild,9
79,YouTube,@FrenchLilGuy,https://www.youtube.com/watch?v=4R19-gsUoio,Yk foxes actually just bark it isnt that he was raised buy dogs its a normal sound for a fox,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",yk foxes actually bark isnt raised buy dogs normal sound fox,7
80,YouTube,@LucaGramuglia-fg8dv,https://www.youtube.com/watch?v=4R19-gsUoio,Woooowaaaaaaaaaaa huskie bro had to charge up,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",woooowaaaaaaaaaaa huskie bro charge,1
81,YouTube,@nippon19,https://www.youtube.com/watch?v=4R19-gsUoio,the first dog is so cute &lt;3<br>and the &quot;baby&quot; one too &lt;3,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",first dog cute lt 3 br quot baby quot one lt 3,11
