Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,sentiment_score,sentiment_category
62,YouTube,@amalkassira4679,https://www.youtube.com/watch?v=qVhAzSwJF-U,I like do not know whatno say so adorable 🥰 😘🎀💗🌸🌷🥳🤩😄🤪<br>So cuteeeeeeeeeeeeeeeeeeeeeereeeeeeeeeeeeeeeeeeeeeeeeeeereeeeeeeeeererer,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",like know whatno say adorable br cuteeeeeeeeeeeeeeeeeeeeeereeeeeeeeeeeeeeeeeeeeeeeeeeereeeeeeeeeererer,0.6908,Positive
63,YouTube,@amalkassira4679,https://www.youtube.com/watch?v=qVhAzSwJF-U,I also like the danish part🇩🇰,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",also like danish part,0.3612,Positive
64,YouTube,@amalkassira4679,https://www.youtube.com/watch?v=qVhAzSwJF-U,I also like the danish part,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",also like danish part,0.3612,Positive
65,YouTube,@amalkassira4679,https://www.youtube.com/watch?v=qVhAzSwJF-U,I like the Arabic part❤️🇱🇧,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",like arabic part,0.3612,Positive
66,YouTube,@angelamaria_cam5612,https://www.youtube.com/watch?v=qVhAzSwJF-U,Gli auguro di poter ridere molto anche nella lunga vita che li attende. 💋💋,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",gli auguro di poter ridere molto anche nella lunga vita che li attende,0.0,Neutral
67,YouTube,@aldaberliana8599,https://www.youtube.com/watch?v=qVhAzSwJF-U,Terima kasih.,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",terima kasih,0.0,Neutral
68,YouTube,@NRKFF-wy3ts,https://www.youtube.com/watch?v=qVhAzSwJF-U,❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
69,YouTube,@NathanFinlay-c9c,https://www.youtube.com/watch?v=qVhAzSwJF-U,I love the first one he was so cute and funny,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",love first one cute funny,0.8779,Positive
70,YouTube,@SaberaShaikh-q7e,https://www.youtube.com/watch?v=qVhAzSwJF-U,😊😊😊😊😊😊😊😊😊😊,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
71,YouTube,@SaberaShaikh-q7e,https://www.youtube.com/watch?v=qVhAzSwJF-U,😊😊😊😊😊😊😊😊,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
72,YouTube,@DefiKurniawati-n8s,https://www.youtube.com/watch?v=qVhAzSwJF-U,22,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",22,0.0,Neutral
73,YouTube,@DefiKurniawati-n8s,https://www.youtube.com/watch?v=qVhAzSwJF-U,B,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",b,0.0,Neutral
74,YouTube,@sonilkhan3658,https://www.youtube.com/watch?v=qVhAzSwJF-U,Vxx 😅,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",vxx,0.0,Neutral
75,YouTube,@wasfiakhan8803,https://www.youtube.com/watch?v=qVhAzSwJF-U,খুব সুন্দর,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",খ ব স ন দর,0.0,Neutral
76,YouTube,@SajiSNairNair-tu9dk,https://www.youtube.com/watch?v=qVhAzSwJF-U,😂😂🙋🏻🫀,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
77,YouTube,@rupinderjeetsingh9662,https://www.youtube.com/watch?v=qVhAzSwJF-U,So cute ❤❤❤❤❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",cute,0.4588,Positive
78,YouTube,@ekaterinaroyster5892,https://www.youtube.com/watch?v=qVhAzSwJF-U,I love babies,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",love babies,0.6369,Positive
79,YouTube,@NaseehaR-e9f,https://www.youtube.com/watch?v=qVhAzSwJF-U,Haa<br>Aaaaaaaa,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",haa br aaaaaaaa,0.0,Neutral
80,YouTube,@Hello_My_Name_Is_Sophia,https://www.youtube.com/watch?v=qVhAzSwJF-U,These make me cry cuz i miss those days,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",make cry cuz miss days,-0.5719,Negative
81,YouTube,@meditate65,https://www.youtube.com/watch?v=qVhAzSwJF-U,Those laughs are music to the ear,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",laughs music ear,0.4939,Positive
82,YouTube,@Neanglinda-x1u,https://www.youtube.com/watch?v=qVhAzSwJF-U,So happy baby 😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",happy baby,0.5719,Positive
83,YouTube,@أبراهيمههركي-ت9ك,https://www.youtube.com/watch?v=qVhAzSwJF-U,😂😂😂😂😂❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
84,YouTube,@أبراهيمههركي-ت9ك,https://www.youtube.com/watch?v=qVhAzSwJF-U,😂😂😂😂😂😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
85,YouTube,@Matcha-v9b,https://www.youtube.com/watch?v=qVhAzSwJF-U,"so cute, i also do this content",,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",cute also content,0.4588,Positive
86,YouTube,@MuhammadsodiqQobiljonov-lc4sc,https://www.youtube.com/watch?v=qVhAzSwJF-U,Buyatfool baby l love you❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",buyatfool baby l love,0.6369,Positive
87,YouTube,@z.a.i3624,https://www.youtube.com/watch?v=qVhAzSwJF-U,Wao❤❤❤ bby,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",wao bby,0.0,Neutral
88,YouTube,@adepriyanto4887,https://www.youtube.com/watch?v=qVhAzSwJF-U,Hallo baby,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",hallo baby,0.0,Neutral
89,YouTube,@IjabelCardoso,https://www.youtube.com/watch?v=qVhAzSwJF-U,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍🇹🇱,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
