66,ibrahim Haskoloğlu,"Türkiye'ye kaçak şekilde giren Afgan sığınmacı 14 yaşındaki engelli bir kız çocuğuna tecavüz etti.

Çocuk karın ağrısı şikayetiyle hastaneye götürüldü ve kızın hamile olduğu ortaya çıktı.

Engelli kız, 'Bana babam tecavüz etti' ifadesi sonrasında babası dayanamayıp intihar etti. https://t.co/zb04jMLvsp",Thu Sep 19 16:33:56 +0000 2024,3221,18691
Tweet Count,Username,Text,Created At,Retweets,Likes
67,ibrahim Haskoloğlu,"Türkiye’de havalimanı transferleri için yeni bir taşımacılık uygulaması faaliyete geçti. 

Kendim de Yenesse’yi havalimanı transferlerinde bir süredir kullandığım için işbirliği tekliflerini kabul ettim.

Teklif usulü çalışıyorlar. Yüzlerce VIP araçları var ve uygun fiyatlarla https://t.co/8k39Y7g741",Sun Sep 22 08:08:18 +0000 2024,85,1608
Tweet Count,Username,Text,Created At,Retweets,Likes
68,ibrahim Haskoloğlu,"Türkiye'de katiller, tecavüzcüler nasıl ve neden serbest bırakılıyor?

Herkes suçlu olarak hakim ve savcıları gösterse de asıl sorumlu sizlerin Meclis'e gönderdiğiniz vekillerin çıkarttığı yasalar.

Son 4 senede çıkarılan yasalarla on binlerce katil, uyuşturucu bağımlısı vb. https://t.co/q12AFviWIx",Tue Sep 24 16:32:07 +0000 2024,3408,16146
Tweet Count,Username,Text,Created At,Retweets,Likes
69,ibrahim Haskoloğlu,"Çalınan Kişisel Verilerinizin, yasadışı bahis sitelerine geçmesi sonrası artık iş tamamen kontrolden çıktı.

Adamlar, dikkat çekmek için vatandaşın sülalesine sövüyor.

Trajikomik bir dönem yaşıyoruz. https://t.co/EDAR2x556N",Wed Sep 25 11:14:12 +0000 2024,1613,25687
Tweet Count,Username,Text,Created At,Retweets,Likes
70,ibrahim Haskoloğlu,"🔴#SONDAKİKA | Suriye Devlet Başkanı Esad, başka ülkelere kaçan Suriyeliler için genel af çıkartı. https://t.co/MyF1b20WSc",Sun Sep 22 15:35:47 +0000 2024,3067,25146
Tweet Count,Username,Text,Created At,Retweets,Likes
71,ibrahim Haskoloğlu,"Eski Maliye Bakanı Nebati döneminde çıkarılan Kur Korumalı Mevduat nedeniyle
Kamu sadece 2 yılda:

1 trilyon 58 milyar lira zarara uğradı. (İPA)

Sayıyla:

1.058.000.000.000 TL https://t.co/Vm9XqyDHZJ",Tue Sep 17 09:55:35 +0000 2024,2827,16051
Tweet Count,Username,Text,Created At,Retweets,Likes
72,ibrahim Haskoloğlu,"Polis arkadaşların yaşadığı hisleri anlayabiliyorum onlara diyeceğim söz yok ancak şu hareketler öfkenizi almak için yapılıyor.

Öfkeniz asla dinmesin, asıl katil bu sünepe değil. Asıl katil bu yargı sistemidir.

Asıl katil 26 suç kaydı olanları dışarı salan sistemdir.",Mon Sep 23 11:03:14 +0000 2024,5374,39231
Tweet Count,Username,Text,Created At,Retweets,Likes
73,ibrahim Haskoloğlu,"Türkiye'nin gündemi 'fakirleşme' olması gerekirken bambaşka konular gündemde.

Son 7 yılda sizce ne kadar fakirleştiniz? TL son 7 yılda yaklaşık %780 DEĞER KAYBETTİ.

Türk hükümeti, yanlış kararlarının acısını sizlerden çıkardı.

Tüm dünyada ekonomi aynı diyenler, iyi izlesin. https://t.co/XDDldL4tSZ",Sun Sep 15 16:11:07 +0000 2024,2410,15089
Tweet Count,Username,Text,Created At,Retweets,Likes
